GCA_000986645.1	Aspergillus rambellii
GCA_047715885.1	Aspergillus recurvatus
GCF_000600275.1	Aspergillus ruber CBS 135680
GCA_047496445.1	Aspergillus saccharicola
GCF_003184585.1	Aspergillus saccharolyticus JOP 1030-1
GCA_003589665.1	Aspergillus sclerotialis
GCA_003184635.1	Aspergillus sclerotiicarbonarius CBS 121057
GCF_003184525.1	Aspergillus sclerotioniger CBS 115572
GCA_025592505.1	Aspergillus sclerotiorum
GCA_009193525.1	Aspergillus sergii
GCA_047715515.1	Aspergillus similis
GCA_008274985.1	Aspergillus sojae
GCA_027569235.1	Aspergillus sparsus
GCA_047715635.1	Aspergillus spectabilis
GCA_041684855.1	Aspergillus spinulosporus
GCF_047715825.1	Aspergillus stella-maris
GCF_002849105.1	Aspergillus steynii IBT 23096
GCA_037044295.1	Aspergillus subversicolor
GCF_001890705.1	Aspergillus sydowii CBS 593.65
GCA_002850765.1	Aspergillus taichungensis
GCA_030556085.1	Aspergillus tamarii
GCF_003426965.1	Aspergillus tanneri
GCA_037043975.1	Aspergillus tennesseensis
GCF_000149615.1	Aspergillus terreus NIH2624
GCA_047715525.1	Aspergillus terricola var. indicus
GCA_045791975.1	Aspergillus tetrazonus
GCA_046128075.1	Aspergillus texensis
GCF_002237265.1	Aspergillus thermomutatus
GCA_046128015.1	Aspergillus toxicus
GCA_009193505.1	Aspergillus transmontanensis
GCF_013340325.1	Aspergillus tubingensis
GCA_002234965.2	Aspergillus turcosus
GCF_001078395.1	Aspergillus udagawae
GCF_047715775.1	Aspergillus undulatus
GCA_018408605.1	Aspergillus unguis
GCA_040285355.1	Aspergillus ustus
GCF_003184745.1	Aspergillus uvarum CBS 121591
GCF_003184925.1	Aspergillus vadensis CBS 113365
GCA_047715575.1	Aspergillus varians
GCA_047715615.1	Aspergillus venezuelensis
GCA_039955225.1	Aspergillus verrucosus
GCF_001890125.1	Aspergillus versicolor CBS 583.65
GCA_003184705.1	Aspergillus violaceofuscus CBS 115571
GCF_018404265.1	Aspergillus viridinutans
GCF_003344945.1	Aspergillus welwitschiae
GCF_001890725.1	Aspergillus wentii DTO 134E9
GCA_019976475.1	Aspergillus westerdijkiae
GCA_964257315.1	Aspicilia laevata
GCA_014805555.1	Astathelohania contejeani
GCA_018850815.1	Asterophora lycoperdoides
GCA_018282005.1	Asterophora parasitica
GCA_016618355.2	Astraeus odoratus
